--------------------Experiment_Info------------------------

Datetime: 13-22-04_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x00000203040636B0>
Modulation frequency (Hz): 50.0
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000
Start mod. freq. (Hz): 50
End mod. freq. (Hz): 100
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)
A-D, 707991.20519390, 0.2850, -0.218683, 5.000, 3.5, 3000.0, 2957.7,  42.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.20769390, 0.2875,  0.257534, 5.000, 3.5, 3000.0, 2959.8,  40.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.21019390, 0.2900, -0.078757, 5.000, 3.5, 3000.0, 2961.2,  38.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.21269390, 0.2925, -0.789722, 5.000, 3.5, 3000.0, 2962.6,  37.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.21519390, 0.2950,  0.267785, 5.000, 3.5, 3000.0, 2964.1,  35.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.21769390, 0.2975,  0.769558, 5.000, 3.5, 3000.0, 2965.5,  34.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.22019390, 0.3000,  0.289000, 5.000, 3.5, 3000.0, 2967.0,  33.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.22269390, 0.3025,  0.161787, 5.000, 3.5, 3000.0, 2968.4,  31.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.22519390, 0.3050,  0.122766, 5.000, 3.5, 3000.0, 2969.8,  30.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.22769390, 0.3075,  0.127986, 5.000, 3.5, 3000.0, 2971.3,  28.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.23019390, 0.3100, -0.544158, 5.000, 3.5, 3000.0, 2972.7,  27.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.23269390, 0.3125, -0.077481, 5.000, 3.5, 3000.0, 2974.1,  25.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.23519390, 0.3150,  0.539248, 5.000, 3.5, 3000.0, 2975.6,  24.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.23769390, 0.3175,  0.627106, 5.000, 3.5, 3000.0, 2977.0,  23.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
